**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
17	9	9	7	9	0	0.333333	67	0	0	0	0	0	0	0	1	0	0	-1	69	0.333333
18	9	9	7	9	0.333333	0.333333	69	0	0	0	0	0	0	0	0	0	67	0	71	0.666667
19	9	9	7	9	0.666667	0.333333	71	0	0	0	0	0	0	0	0	0	69	0.333333	72	1
21	1	1	11	1	1	1	36	0	0	0	0	0	0	0	0	0	0	-1	48	4
21	3	3	10	3	1	1	48	0	0	0	0	0	0	0	0	0	0	-1	60	4
21	9	9	7	9	1	1.5	72	0	0	0	0	0	0	0	0	1	71	0.666667	67	2.5
21	11	11	6	11	1	1	48	0	0	0	0	0	0	0	0	0	0	-1	0	0
21	13	13	5	13	1	1	55	1	0	0	0	0	1	0	0	0	0	-1	0	0
21	13	13	5	13	1	1	64	1	0	0	0	0	0	0	0	0	0	-1	0	0
21	15	15	4	15	1	1	60	1	0	0	0	0	1	0	0	0	0	-1	0	0
21	15	15	4	15	1	1	67	1	0	0	0	0	0	0	0	0	0	-1	0	0
21	17	17	3	17	1	1	48	1	0	0	0	0	1	0	0	0	0	-1	0	0
21	17	17	3	17	1	1	55	1	0	0	0	0	0	0	0	0	0	-1	0	0
21	19	19	2	19	1	1	64	1	0	0	0	0	1	0	0	0	0	-1	0	0
21	19	19	2	19	1	1	72	1	0	0	0	0	0	0	0	0	0	-1	0	0
21	21	21	1	21	1	1	67	1	0	0	0	0	1	0	0	0	0	-1	0	0
21	21	21	1	21	1	1	72	1	0	0	0	0	0	0	0	0	0	-1	0	0
22	5	5	9	5	2	1	64	0	0	0	0	0	0	0	0	0	0	-1	64	3
22	7	7	8	7	2	1	67	0	0	0	0	0	0	0	0	0	0	-1	67	3
23	9	9	7	9	2.5	0.5	67	0	0	0	0	0	0	0	0	0	72	1	72	3
24	5	5	9	5	3	1	64	0	0	0	0	0	0	0	0	0	64	2	64	5
24	7	7	8	7	3	1	67	0	0	0	0	0	0	0	0	0	67	2	67	5
24	9	9	7	9	3	1.5	72	0	0	0	0	0	0	0	0	0	67	2.5	67	4.5
26	1	1	11	1	4	1	48	0	0	0	0	0	0	0	0	0	36	1	36	7
26	3	3	10	3	4	1	60	0	0	0	0	0	0	0	0	0	48	1	48	7
27	9	9	7	9	4.5	0.5	67	0	0	0	0	0	0	0	0	0	72	3	72	5
28	5	5	9	5	5	1	64	0	0	0	0	0	0	0	0	0	64	3	64	6
28	7	7	8	7	5	1	67	0	0	0	0	0	0	0	0	0	67	3	67	6
28	9	9	7	9	5	1	72	0	0	0	0	0	0	0	0	0	67	4.5	67	6
29	5	5	9	5	6	1	64	0	0	0	0	0	0	0	0	0	64	5	64	8
29	7	7	8	7	6	1	67	0	0	0	0	0	0	0	0	0	67	5	67	8
29	9	9	7	9	6	1	67	0	0	0	0	0	0	0	0	0	72	5	72	7
31	1	1	11	1	7	1	36	0	0	0	0	0	0	0	0	0	48	4	48	10
31	3	3	10	3	7	1	48	0	0	0	0	0	0	0	0	0	60	4	60	10
31	9	9	7	9	7	1.5	72	0	0	0	0	0	0	0	0	0	67	6	67	8.5
32	5	5	9	5	8	1	64	0	0	0	0	0	0	0	0	0	64	6	64	9
32	7	7	8	7	8	1	67	0	0	0	0	0	0	0	0	0	67	6	67	9
33	9	9	7	9	8.5	0.5	67	0	0	0	0	0	0	0	0	0	72	7	72	9
34	5	5	9	5	9	1	64	0	0	0	0	0	0	0	0	0	64	8	64	11
34	7	7	8	7	9	1	67	0	0	0	0	0	0	0	0	0	67	8	67	11
34	9	9	7	9	9	1.5	72	0	0	0	0	0	0	0	0	0	67	8.5	67	10.5
36	1	1	11	1	10	1	48	0	0	0	0	0	0	0	0	0	36	7	0	0
36	3	3	10	3	10	1	60	0	0	0	0	0	0	0	0	0	48	7	0	0
37	9	9	7	9	10.5	0.5	67	0	0	0	0	0	0	0	0	0	72	9	72	11
38	5	5	9	5	11	1	64	0	0	0	0	0	0	0	0	0	64	9	60	12
38	7	7	8	7	11	1	67	0	0	0	0	0	0	0	0	0	67	9	64	12
38	9	9	7	9	11	1	72	0	0	0	0	0	0	0	0	0	67	10.5	67	12
39	5	5	9	5	12	1	60	0	0	0	0	0	0	0	0	0	64	11	0	0
39	7	7	8	7	12	1	64	0	0	0	0	0	0	0	0	0	67	11	0	0
39	9	9	7	9	12	1	67	0	0	0	0	0	0	0	0	0	72	11	0	0
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
