**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	3	3	20	3	0	0.5	64	1	1	0	0	0	1	0	0	0	0	-1	65	11.5
18	3	3	20	3	0	0.5	69	1	0	0	0	0	0	0	0	0	0	-1	65	11.5
18	5	5	19	5	0	0.5	72	0	1	0	0	0	1	0	0	0	0	-1	77	10.25
18	7	7	18	7	0	0.5	71	0	1	0	0	0	1	0	0	0	0	-1	81	1.25
18	9	9	17	9	0	0.5	71	0	1	0	0	0	1	0	0	0	0	-1	81	1.25
18	18	18	11	18	0	0.5	-13988	0	0	0	0	0	0	0	0	0	0	-1	0	0
18	27	27	6	27	0	0.5	64	0	1	0	0	0	1	0	0	0	0	-1	70	0.5
18	33	33	3	33	0	0.5	65	0	1	0	0	0	0	0	0	0	0	-1	0	0
18	34	34	2	34	0	0.5	72	0	1	0	0	0	0	0	0	0	0	-1	0	0
18	35	35	1	35	0	6	77	0	1	0	0	0	0	0	1	0	0	-1	76	6
19	19	19	10	19	0.5	0	-13988	0	0	0	0	0	0	0	0	0	0	-1	-13988	0.5
19	31	31	4	31	0.5	0	69	0	0	0	0	0	0	0	1	0	0	-1	71	0.5
20	19	19	10	19	0.5	0	-13988	0	0	0	0	0	0	0	0	0	-13988	0.5	-13988	0.5
20	31	31	4	31	0.5	0	71	0	0	0	0	0	0	0	0	0	69	0.5	72	0.5
21	19	19	10	19	0.5	0	-13988	0	0	0	0	0	0	0	0	0	-13988	0.5	-13988	0.5
21	31	31	4	31	0.5	0	72	0	0	0	0	0	0	0	0	0	71	0.5	70	0.5
22	16	16	12	16	0.5	1.5	70	0	0	0	0	0	0	0	0	0	0	-1	70	2
22	19	19	10	19	0.5	0.5	-13988	0	0	0	0	0	0	0	0	0	-13988	0.5	-13988	2
22	27	27	6	27	0.5	0.5	70	0	1	0	0	0	1	0	0	0	64	0	70	2
