**line	**field	**track	**staff	**subtrack	**start	**dur	**pitch	**chord	**accent	**marcato	**sforzando	**tenuto	**staccato	**trill	**slur_start	**slur_end	**ppitch	**pstart	**npitch	**nstart
18	5	5	4	5	0	0.5	47	0	0	0	0	0	0	0	1	0	0	-1	49	0.5
18	7	7	3	7	0	0.5	59	0	0	0	0	0	0	0	1	0	0	-1	61	0.5
18	9	9	2	9	0	0.5	59	0	0	0	0	0	0	0	1	0	0	-1	61	0.5
18	11	11	1	11	0	0.5	59	0	0	0	0	0	0	0	1	0	0	-1	61	0.5
20	5	5	4	5	0.5	0.5	49	0	0	0	0	0	0	0	0	0	47	0	52	1
20	7	7	3	7	0.5	0.5	61	0	0	0	0	0	0	0	0	0	59	0	64	1
20	9	9	2	9	0.5	0.5	61	0	0	0	0	0	0	0	0	0	59	0	64	1
20	11	11	1	11	0.5	0.5	61	0	0	0	0	0	0	0	0	0	59	0	64	1
21	5	5	4	5	1	0.5	52	0	0	0	0	0	0	0	0	0	49	0.5	54	1.5
21	7	7	3	7	1	0.5	64	0	0	0	0	0	0	0	0	0	61	0.5	66	1.5
21	9	9	2	9	1	0.5	64	0	0	0	0	0	0	0	0	0	61	0.5	66	1.5
21	11	11	1	11	1	0.5	64	0	0	0	0	0	0	0	0	0	61	0.5	66	1.5
22	5	5	4	5	1.5	0.5	54	0	0	0	0	0	0	0	0	0	52	1	56	2
22	7	7	3	7	1.5	0.5	66	0	0	0	0	0	0	0	0	0	64	1	68	2
22	9	9	2	9	1.5	0.5	66	0	0	0	0	0	0	0	0	0	64	1	68	2
22	11	11	1	11	1.5	0.5	66	0	0	0	0	0	0	0	0	0	64	1	68	2
23	2	2	6	2	2	0	52	0	0	0	0	0	0	0	1	0	0	-1	54	2
23	3	3	5	3	2	0	83	0	0	0	0	0	0	0	1	0	0	-1	82	2
24	2	2	6	2	2	0	54	0	0	0	0	0	0	0	0	0	52	2	52	2
24	3	3	5	3	2	0	82	0	0	0	0	0	0	0	0	0	83	2	76	2
25	1	1	7	1	2	3	40	0	0	0	0	0	0	0	0	0	0	-1	40	5
25	2	2	6	2	2	3	52	1	0	0	0	0	0	0	0	1	54	2	52	5
25	2	2	6	2	2	3	56	1	0	0	0	0	0	0	0	1	54	2	52	5
25	2	2	6	2	2	3	59	1	0	0	0	0	0	0	0	1	54	2	52	5
25	3	3	5	3	2	3	76	1	0	0	0	0	0	0	0	1	82	2	83	5
25	3	3	5	3	2	3	80	1	0	0	0	0	0	0	0	1	82	2	83	5
25	3	3	5	3	2	3	83	1	0	0	0	0	0	0	0	1	82	2	83	5
25	5	5	4	5	2	1.5	56	0	0	0	0	0	0	0	0	1	54	1.5	51	3.5
25	7	7	3	7	2	1.5	68	0	0	0	0	0	0	0	0	1	66	1.5	63	3.5
25	9	9	2	9	2	1.5	68	0	0	0	0	0	0	0	0	1	66	1.5	63	3.5
25	11	11	1	11	2	1.5	68	0	0	0	0	0	0	0	0	1	66	1.5	63	3.5
27	5	5	4	5	3.5	0.5	51	0	0	0	0	0	0	0	1	0	56	2	52	4
27	7	7	3	7	3.5	0.5	63	0	0	0	0	0	0	0	1	0	68	2	64	4
27	9	9	2	9	3.5	0.5	63	0	0	0	0	0	0	0	1	0	68	2	64	4
27	11	11	1	11	3.5	0.5	63	0	0	0	0	0	0	0	1	0	68	2	64	4
28	5	5	4	5	4	0.5	52	0	0	0	0	0	0	0	0	0	51	3.5	56	4.5
28	7	7	3	7	4	0.5	64	0	0	0	0	0	0	0	0	0	63	3.5	68	4.5
28	9	9	2	9	4	0.5	64	0	0	0	0	0	0	0	0	0	63	3.5	68	4.5
28	11	11	1	11	4	0.5	64	0	0	0	0	0	0	0	0	0	63	3.5	68	4.5
29	5	5	4	5	4.5	0.5	56	0	0	0	0	0	0	0	0	0	52	4	58	5
29	7	7	3	7	4.5	0.5	68	0	0	0	0	0	0	0	0	0	64	4	70	5
29	9	9	2	9	4.5	0.5	68	0	0	0	0	0	0	0	0	0	64	4	70	5
29	11	11	1	11	4.5	0.5	68	0	0	0	0	0	0	0	0	0	64	4	70	5
30	2	2	6	2	5	0	52	0	0	0	0	0	0	0	1	0	52	2	54	5
30	3	3	5	3	5	0	83	0	0	0	0	0	0	0	1	0	76	2	82	5
31	2	2	6	2	5	0	54	0	0	0	0	0	0	0	0	0	52	5	52	5
31	3	3	5	3	5	0	82	0	0	0	0	0	0	0	0	0	83	5	76	5
32	1	1	7	1	5	3	40	0	0	0	0	0	0	0	0	0	40	2	40	8
32	2	2	6	2	5	3	52	1	0	0	0	0	0	0	0	1	54	5	52	8
32	2	2	6	2	5	3	56	1	0	0	0	0	0	0	0	1	54	5	52	8
32	2	2	6	2	5	3	59	1	0	0	0	0	0	0	0	1	54	5	52	8
32	3	3	5	3	5	3	76	1	0	0	0	0	0	0	0	1	82	5	83	8
32	3	3	5	3	5	3	80	1	0	0	0	0	0	0	0	1	82	5	83	8
32	3	3	5	3	5	3	83	1	0	0	0	0	0	0	0	1	82	5	83	8
32	5	5	4	5	5	0.5	58	0	0	0	0	0	0	0	0	0	56	4.5	59	5.5
32	7	7	3	7	5	0.5	70	0	0	0	0	0	0	0	0	0	68	4.5	71	5.5
32	9	9	2	9	5	0.5	70	0	0	0	0	0	0	0	0	0	68	4.5	71	5.5
32	11	11	1	11	5	0.5	70	0	0	0	0	0	0	0	0	0	68	4.5	71	5.5
33	5	5	4	5	5.5	1.5	59	0	0	0	0	0	0	0	0	1	58	5	56	7
33	7	7	3	7	5.5	1.5	71	0	0	0	0	0	0	0	0	1	70	5	68	7
33	9	9	2	9	5.5	1.5	71	0	0	0	0	0	0	0	0	1	70	5	56	7
33	11	11	1	11	5.5	1.5	71	0	0	0	0	0	0	0	0	1	70	5	68	7
36	5	5	4	5	7	0.5	56	0	0	0	0	0	0	0	1	0	59	5.5	58	7.5
36	7	7	3	7	7	0.5	68	0	0	0	0	0	0	0	1	0	71	5.5	70	7.5
36	9	9	2	9	7	0.5	56	0	0	0	0	0	0	0	1	0	71	5.5	58	7.5
36	11	11	1	11	7	0.5	68	0	0	0	0	0	0	0	1	0	71	5.5	70	7.5
37	5	5	4	5	7.5	0.5	58	0	0	0	0	0	0	0	0	0	56	7	61	8
37	7	7	3	7	7.5	0.5	70	0	0	0	0	0	0	0	0	0	68	7	73	8
37	9	9	2	9	7.5	0.5	58	0	0	0	0	0	0	0	0	0	56	7	61	8
37	11	11	1	11	7.5	0.5	70	0	0	0	0	0	0	0	0	0	68	7	73	8
38	2	2	6	2	8	0	52	0	0	0	0	0	0	0	1	0	52	5	54	8
38	3	3	5	3	8	0	83	0	0	0	0	0	0	0	1	0	76	5	82	8
39	2	2	6	2	8	0	54	0	0	0	0	0	0	0	0	0	52	8	52	8
39	3	3	5	3	8	0	82	0	0	0	0	0	0	0	0	0	83	8	76	8
40	1	1	7	1	8	3	40	0	0	0	0	0	0	0	0	0	40	5	40	11
40	2	2	6	2	8	3	52	1	0	0	0	0	0	0	0	1	54	8	52	11
40	2	2	6	2	8	3	56	1	0	0	0	0	0	0	0	1	54	8	52	11
40	2	2	6	2	8	3	59	1	0	0	0	0	0	0	0	1	54	8	52	11
40	3	3	5	3	8	3	76	1	0	0	0	0	0	0	0	1	82	8	83	11
40	3	3	5	3	8	3	80	1	0	0	0	0	0	0	0	1	82	8	83	11
40	3	3	5	3	8	3	83	1	0	0	0	0	0	0	0	1	82	8	83	11
40	5	5	4	5	8	0.5	61	0	0	0	0	0	0	0	0	0	58	7.5	63	8.5
40	7	7	3	7	8	0.5	73	0	0	0	0	0	0	0	0	0	70	7.5	75	8.5
40	9	9	2	9	8	0.5	61	0	0	0	0	0	0	0	0	0	58	7.5	63	8.5
40	11	11	1	11	8	0.5	73	0	0	0	0	0	0	0	0	0	70	7.5	75	8.5
41	5	5	4	5	8.5	0.5	63	0	0	0	0	0	0	0	0	0	61	8	64	9
41	7	7	3	7	8.5	0.5	75	0	0	0	0	0	0	0	0	0	73	8	76	9
41	9	9	2	9	8.5	0.5	63	0	0	0	0	0	0	0	0	0	61	8	64	9
41	11	11	1	11	8.5	0.5	75	0	0	0	0	0	0	0	0	0	73	8	76	9
42	5	5	4	5	9	1.5	64	0	0	0	0	0	0	0	0	1	63	8.5	64	10.5
